collections,site_id,site_name,placekey,places
"Crustacea, Parasite",CMNPA 1980-1827,Arthur 1978 SEGooseIslandGrounds3,,"Pacific Ocean: Queen Charlotte Sound, Goose Island Grounds [placekey:10566] (total:27) | North America: Canada, British Columbia [placekey:3] (total:25)"
Mollusc,CMNML 026514,HBH 1964-07-08 H45,,"North America: Canada, Ontario, Nipissing Distr. (ON), North Bay [placekey:502] (total:2) | North America: Canada, Ontario, Lake Ontario [placekey:11949] (total:1) | North America: Canada, Ontario, Prince Edward Co. (ON), Hillier [placekey:12273] (total:22)"
"Crustacea, General Invertebrate",CMNC 1987-0865,Quayle-06 Aug 1965-JWS85,,"North America: Canada, British Columbia, Queen Charlotte Islands Land Distr., Lawn Pt. [placekey:9279] (total:19) | North America: Canada, British Columbia, Range 4 Coast Land Distr. [placekey:837] (total:2) | North America: Canada, British Columbia, Range 4 Coast Land Distr., Bonilla I. [placekey:9115] (total:6)"
Crustacea,ELB 1976 B27,ELB 1976 B27,,"North America: Canada, British Columbia, Barclay Land Distr. [placekey:287] (total:4) | North America: Canada, British Columbia, Barclay Land Distr., Dodger Channel [placekey:26827] (total:13) | North America: Canada, British Columbia, Barclay Land Distr., Diana I. [placekey:9140] (total:8)"
Mollusc,HBH&WHH 1960-06-09 P-1861,HBH&WHH 1960-06-09 P-1861,,"North America: Canada, Ontario, Lennox and Addington Co. (ON), Wilton [placekey:24848] (total:23) | North America: Canada, Ontario, Lennox and Addington Co. (ON), Stone Mills Twp. [placekey:25859] (total:1) | North America: Canada, Ontario, Lennox and Addington Co. (ON) [placekey:867] (total:1) | North America: Canada, Ontario, Chatham-Kent, Camden [placekey:17265] (total:1) | North America: Canada, Ontario, Ottawa (metro), West Carleton [placekey:12161] (total:1)"
"Crustacea, General Invertebrate",CMNI 1900-2209,Calanus 1950 221,,"North America: Canada, Northwest Territories [placekey:14] (total:22) | North America: Canada, Nunavut, Hudson Strait [placekey:169] (total:1) | North America: Canada, Nunavut, Ungava Bay [placekey:9074] (total:3)"
Mollusc,HBH 1962-09-14 Camden Lake,HBH 1962-09-14 Camden Lake,,"North America: Canada, Ontario, Lennox and Addington Co. (ON), Camden Lake [placekey:12229] (total:22) | North America: Canada, Ontario, Chatham-Kent, Camden [placekey:17265] (total:2)"
Crustacea,ELB 1976 B03a,ELB 1976 B03a,,"North America: Canada, British Columbia, Barclay Land Distr. [placekey:287] (total:3) | North America: Canada, British Columbia, Barclay Land Distr., Diana I. [placekey:9140] (total:23)"
Parasite,CMNPA 1979-1546a,Bartlett EssexCo,,"North America: Canada, Ontario, Essex Co. (ON), Essex [placekey:26066] (total:23) | North America: Canada, Ontario, Wellington Co. (ON), Guelph/Eramosa Twp. [placekey:12284] (total:1)"
Mollusc,HBH&WHH 1960-06-09 P-1862,HBH&WHH 1960-06-09 P-1862,,"North America: Canada, Ontario, Lennox and Addington Co. (ON), Wilton [placekey:24848] (total:12) | North America: Canada, Ontario, Lennox and Addington Co. (ON), Loyalist Twp. [placekey:12089] (total:10) | North America: Canada, Ontario, Lennox and Addington Co. (ON) [placekey:867] (total:1)"
Mollusc,CMNML 033191,MO 1964-06-18 CMNML 033191,,"North America: Canada, Manitoba, Lake Manitoba [placekey:19369] (total:23) | North America: Canada, Manitoba [placekey:6] (total:1)"
Crustacea,ELB 1966 W57,ELB 1966 W57,,"North America: United States, Oregon, Lane Co. (OR) [placekey:3234] (total:10) | North America: United States, Oregon, Lincoln Co. (OR) [placekey:3235] (total:13)"
"Crustacea, General Invertebrate, Mollusc",CMNC 1987-0334,Bowen 1971-07-25 E arm,,"North America: Canada, Newfoundland and Labrador, St. Barbe Distr., East Arm [placekey:9108] (total:9) | North America: Canada, Newfoundland and Labrador, St. Barbe Distr., Gros Morne National Park [placekey:28502] (total:14)"
Parasite,CMNPA 1984-5647,Arai 1964 HPA-95,,"North America: Canada, British Columbia, Range 2 Coast Land Distr., Burke Ch. [placekey:10233] (total:22) | North America: Canada, British Columbia, Range 2 Coast Land Distr., Burke Ch. [placekey:10247] (total:4)"
Mollusc,HBH 1960-07-22 P-1873,HBH 1960-07-22 P-1873,,"North America: Canada, Ontario, Lennox and Addington Co. (ON), Greater Napanee [placekey:12190] (total:7) | North America: Canada, Ontario, Bay of Quinte [placekey:10332] (total:16)"
"Crustacea, General Invertebrate",CMNI 1989-1004,Taylor-19060700,,"North America: Canada, British Columbia, Vancouver I. [placekey:171] (total:1) | North America: Canada, British Columbia, Nanaimo Land Distr., Departure Bay [placekey:174] (total:23)"
Crustacea,CMNC 1981-0353,Judd FW London,,"North America: Canada, Ontario, Middlesex Co. (ON) [placekey:8683] (total:18) | North America: Canada, Ontario, Middlesex Co. (ON), London (ON) [placekey:25063] (total:4)"
Mollusc,HBH 1961-06-06 P-1902,HBH 1961-06-06 P-1902,,"North America: Canada, Ontario, Lennox and Addington Co. (ON), Bath [placekey:10714] (total:21) | North America: Canada, Ontario, Lake Ontario [placekey:11949] (total:1)"
Mollusc,CMNML 064129,Grimm 1972 Gatineau Parkway,,"North America: Canada, Québec, Mun. Rég. de Cté de la Vallée-de-la-Gatineau [placekey:10666] (total:21) | North America: Canada, Québec, Gatineau Métropolitain, Cton de Hull [placekey:10674] (total:1)"
Crustacea,ELB 1975 P14a,ELB 1975 P14a,,"North America: Canada, British Columbia, Pacific Rim National Park Reserve [placekey:28239] (total:2) | North America: Canada, British Columbia, Barclay Land Distr., Barkley Sound [placekey:18799] (total:20)"
"Crustacea, General Invertebrate",CMNI 1985-0260,Calanus 1962 62-4006 B-15,,"North America: Canada, Nunavut, Cornwallis I. [placekey:134] (total:5) | North America: Canada, Nunavut, Cornwallis I., Assistance Bay [placekey:27747] (total:14) | North America: Canada, Nunavut, Qikiqtaaluk Region, Cornwallis I., Resolute Bay [placekey:130] (total:2)"
Mollusc,HBH 1962-08-09 11,HBH 1962-08-09 11,,"North America: Canada, Ontario, Lennox and Addington Co. (ON), Roblin (ON) [placekey:23484] (total:20) | North America: Canada, Ontario, Hastings Co. (ON), Marlbank [placekey:24850] (total:1)"
Parasite,CMNPA 1984-8998,Renewable Resources 1976 HPA-401,,"North America: Canada, British Columbia, Cariboo Land Distr., Arctic Lake [placekey:36910] (total:21) | North America: Canada, British Columbia, Cariboo Land Distr., Parsnip Riv. [placekey:12871] (total:20)"
Crustacea,CMNC 1989-0773,Low Victoria region,,"North America: Canada, British Columbia, Victoria Land Distr. [placekey:303] (total:19) | North America: Canada, British Columbia, Victoria Land Distr., Victoria (BC) [placekey:498] (total:1)"
Crustacea,ELB 1975 P05d,ELB 1975 P05d,,"North America: Canada, British Columbia, Barclay Land Distr. [placekey:287] (total:3) | North America: Canada, British Columbia, Barclay Land Distr., Trevor Ch. [placekey:9365] (total:9) | North America: Canada, British Columbia, Barclay Land Distr., Taylor Islet [placekey:28955] (total:8)"
"Crustacea, General Invertebrate",CMNI 1986-0567,Calanus 1947 40,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Ungava Bay [placekey:9074] (total:20)"
Crustacea,ELB 1966 W50,ELB 1966 W50,,"North America: United States, Oregon, Clatsop Co. [placekey:3218] (total:18) | North America: United States, Washington, Clallam Co. [placekey:3936] (total:1)"
"Crustacea, General Invertebrate",CMNC 1988-0283,DFO (ABS) 1961 61-043,,"North America: Canada, Nunavut, Foxe Basin [placekey:15293] (total:2) | North America: Canada, Northwest Territories [placekey:14] (total:18)"
Mollusc,HBH 1961-08-16 P-1914,HBH 1961-08-16 P-1914,,"North America: Canada, Ontario, Chatham-Kent, Rondeau Prov. Park [placekey:11656] (total:4) | North America: Canada, Ontario, Chatham-Kent, Howard [placekey:25851] (total:13) | North America: Lake Erie [placekey:25790] (total:2)"
Crustacea,CMNC 1994-0155,Black 1956 Pelly Bay 4,,"North America: Canada, Nunavut, Kugaaruk [placekey:10846] (total:4) | North America: Canada, Nunavut, Pelly Bay (NU) [placekey:16057] (total:14)"
Mollusc,HBH 1960-07-01 P-1868,HBH 1960-07-01 P-1868,,"North America: Canada, Ontario, Bay of Quinte [placekey:10332] (total:12) | North America: Canada, Ontario, Prince Edward Co. (ON), Marysburgh [placekey:18361] (total:1) | North America: Canada, Ontario, Victoria Co. (ON), Pleasant Point (ON) [placekey:33804] (total:3) | North America: Canada, Ontario, Prince Edward Co. (ON), Cressy [placekey:23663] (total:2)"
"Crustacea, Insect",H&AH 1979.V.27-CR (Monteverde 1500 m),H&AH 1979.V.27-CR (Monteverde 1500 m),,"Central America: Costa Rica, Puntarenas Prov. [placekey:4256] (total:17) | Central America: Panama, Chiriqui Prov. [placekey:4264] (total:1)"
Mollusc,HBH&al 1960-06-11 P-1866,HBH&al 1960-06-11 P-1866,,"North America: Canada, Ontario, Hastings Co. (ON), Moira Riv. [placekey:23623] (total:17) | North America: Canada, Ontario, Hastings Co. (ON), Tweed Twp. [placekey:11921] (total:1)"
Mollusc,CMNML 026648,AL 1935-08-16 026648,,"North America: Canada, Ontario, Lanark Co. (ON) [placekey:864] (total:17) | North America: Canada, Ontario, Rideau Ferry [placekey:9531] (total:1)"
"Crustacea, General Invertebrate",CMNC 1984-0103,Stewart 1980 107,,"North America: Canada, Newfoundland and Labrador [placekey:12] (total:6) | North America: Canada, Newfoundland and Labrador, Grand Bank Distr., Grand Bank [placekey:9428] (total:12)"
Crustacea,ELB 1975 P05a,ELB 1975 P05a,,"North America: Canada, British Columbia, Barclay Land Distr. [placekey:287] (total:3) | North America: Canada, British Columbia, Barclay Land Distr., Trevor Ch. [placekey:9365] (total:8) | North America: Canada, British Columbia, Barclay Land Distr., Taylor Islet [placekey:28955] (total:6)"
"Crustacea, General Invertebrate, Mollusc",CMNI 1989-0235,Johansen 1915 43a,,"North America: Canada, Nunavut, Dolphin and Union Strait [placekey:86] (total:10) | North America: Canada, Northwest Territories [placekey:14] (total:8)"
Mollusc,CMNML 039141,HDA 1965-07-10 A13,,"North America: Canada, Manitoba [placekey:6] (total:17) | North America: Canada, Saskatchewan [placekey:5] (total:1)"
"Crustacea, Fish, Mollusc",CMNFI 1961-0213,Gorham 1960 17,,"North America: Canada, Gulf of St. Lawrence [placekey:16749] (total:18) | North America: Canada [placekey:2] (total:1)"
Crustacea,ELB 1976 B12a,ELB 1976 B12a,,"North America: Canada, British Columbia, Barclay Land Distr. [placekey:287] (total:1) | North America: Canada, British Columbia, Barclay Land Distr., Barkley Sound [placekey:18799] (total:3) | North America: Canada, British Columbia, Barclay Land Distr., Cape Beale [placekey:26823] (total:12)"
"Crustacea, Mollusc",CMNML 035061,MacDonald 1954 24,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Ellesmere I., Slidre Fiord [placekey:10500] (total:1) | North America: Canada, Nunavut, Ellef Ringnes I., Isachsen [placekey:10854] (total:15)"
Mollusc,FWG&MM 1970-05-31 White Lake,FWG&MM 1970-05-31 White Lake,,"North America: Canada, Ontario, Renfrew Co. (ON), White Lake (ON) [placekey:12955] (total:15) | North America: Canada, Ontario, Renfrew Co. (ON), White Lake (4522N -07630W) [placekey:28303] (total:1)"
Mollusc,CMNML 025966,Herrington-1964-06-30 HBH40,,"North America: Canada, Ontario, Bay of Quinte [placekey:10332] (total:15) | North America: Canada, Ontario, Carrying Place [placekey:23461] (total:1) | North America: Canada, Ontario, Prince Edward Co. (ON), Ameliasburgh [placekey:25211] (total:1)"
Mollusc,HBH 1961-07-24 P-1904,HBH 1961-07-24 P-1904,,"North America: Canada, Ontario, Bay of Quinte [placekey:10332] (total:5) | North America: Canada, Ontario, Lennox and Addington Co. (ON), Conway [placekey:27408] (total:11)"
Mollusc,CMNML 048179,Athearn-1963-08-01 HDA 543,,"North America: Canada, Ontario, Brant [placekey:853] (total:11) | North America: Canada, Ontario, Nith Riv. [placekey:26244] (total:5)"
"Crustacea, General Invertebrate",ELB 1966 W64,ELB 1966 W64,,"North America: United States, Oregon, Tillamook Co. [placekey:3243] (total:3) | North America: United States, Oregon, Tillamook Co., Wilson Beach [placekey:9340] (total:1) | North America: United States, Oregon, Tillamook Co., Netarts Bay [placekey:17195] (total:12)"
Mollusc,HBH 1962-09-14 HBH 19,HBH 1962-09-14 HBH 19,,"North America: Canada, Ontario, Napanee Riv. [placekey:26369] (total:15) | North America: Canada, Ontario, Lennox and Addington Co. (ON), Camden East [placekey:24622] (total:1)"
Crustacea,CMNC 1995-3347,Calanus 1951 335 P35,,"North America: Canada, Nunavut, Qikiqtaaluk Region, Baffin I., Frobisher Bay [placekey:192] (total:15) | North America: Canada, Nunavut, Ungava Bay [placekey:9074] (total:1)"
Crustacea,ELB 1966 W30,ELB 1966 W30,,"North America: United States, Washington, Kitsap Co. [placekey:3949] (total:4) | North America: United States, Washington, Jefferson Co. (WA), Marrowstone I. [placekey:27812] (total:12)"
Mollusc,VKP Algonquin Sands,VKP Algonquin Sands,,"North America: Canada, Ontario, Simcoe Co. (ON) [placekey:24712] (total:3) | North America: Canada, Ontario, Simcoe Co. (ON), Alliston [placekey:10018] (total:12) | North America: Canada, Ontario, Simcoe Co. (ON), New Tecumseth [placekey:25965] (total:1)"
"Crustacea, General Invertebrate",CMNI 1986-0289,Calanus 1962 62-2031 B-44,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Somerset I., Creswell Bay [placekey:19529] (total:15)"
Mollusc,HBH 1960-10-05 P-1890,HBH 1960-10-05 P-1890,,"North America: Canada, Ontario, Lennox and Addington Co. (ON) [placekey:867] (total:2) | North America: Canada, Ontario, Lake Ontario [placekey:11949] (total:5) | North America: Canada, Ontario, Lennox and Addington Co. (ON), Ernestown [placekey:13414] (total:1) | North America: Canada, Ontario, Lennox and Addington Co. (ON), Millhaven [placekey:25251] (total:3) | North America: Canada, Ontario, Victoria Co. (ON), Pleasant Point (ON) [placekey:33804] (total:1) | North America: Canada, Ontario, Lennox and Addington Co. (ON), Loyalist Twp. [placekey:12089] (total:3)"
"Crustacea, General Invertebrate",CMNI 1989-0281,Spreadborough 1910 Gulf of Georgia,,"North America: Canada, British Columbia [placekey:3] (total:1) | Pacific Ocean: Strait of Georgia [placekey:25507] (total:15)"
Mollusc,HBH 1963-08-16 33,HBH 1963-08-16 33,,"North America: Canada, Ontario, Prince Edward Co. (ON), Consecon Lake [placekey:18775] (total:10) | North America: Canada, Ontario, Prince Edward Co. (ON), Hillier [placekey:12273] (total:5)"
Mollusc,HBH 1963-07-10 27,HBH 1963-07-10 27,,"North America: Canada, Ontario, Leeds and Grenville United Co., Crosby [placekey:12361] (total:13) | North America: Canada, Ontario, Parry Sound Distr. (ON), Sand Lake [placekey:14179] (total:2)"
"Crustacea, General Invertebrate",CMNC 1984-0110,Stewart 1980 121,,"North America: Canada, Newfoundland and Labrador [placekey:12] (total:3) | North America: Canada, Newfoundland and Labrador, Grand Bank Distr., Grand Bank [placekey:9428] (total:12)"
Crustacea,ELB 1980 S04B04,ELB 1980 S04B04,,"North America: United States, Alaska, Gulf of Alaska [placekey:767] (total:2) | North America: United States, Alaska, Sitka Borough, Chichagof I. [placekey:9925] (total:13)"
Crustacea,CMNC 1994-0441,OClair-19680910,,"North America: United States, Alaska, Aleutian Is. [placekey:768] (total:1) | North America: United States, Alaska, Aleutians West Census Area, Amchitka I. [placekey:9137] (total:5) | North America: United States, Alaska, Aleutians West Census Area, Constantine Harbor [placekey:9595] (total:9)"
Crustacea,CMNC 1991-1800,Levings 1981 RB1,,"North America: Canada, British Columbia, Fraser Riv. (BC) [placekey:24757] (total:3) | North America: Canada, British Columbia, Roberts Bank [placekey:28008] (total:12)"
Mollusc,AHC 1953-07-15 T281,AHC 1953-07-15 T281,,"North America: United States, Tennessee, Marion Co. (TN) [placekey:3494] (total:7) | North America: United States, Tennessee, Grundy Co. (TN) [placekey:3469] (total:7)"
"Crustacea, Parasite",CMNPA 1993-0352,Pike 1952 Coal Harbour,,"North America: Canada, British Columbia, Rupert Land Distr., Coal Hbr. [placekey:17953] (total:4) | Pacific Ocean: Northeast Pacific Ocean [placekey:25147] (total:10)"
Crustacea,ELB 1975 P20b,ELB 1975 P20b,,"North America: Canada, British Columbia, Barclay Land Distr. [placekey:287] (total:5) | North America: Canada, British Columbia, Barclay Land Distr., Trevor Ch. [placekey:9365] (total:8) | North America: Canada, British Columbia, Barclay Land Distr., Bordelais Islets [placekey:28869] (total:1)"
Mollusc,HBH 1961-05-08 Moira River,HBH 1961-05-08 Moira River,,"North America: Canada, Ontario, Hastings Co. (ON), Moira Riv. [placekey:23623] (total:12) | North America: Canada, Ontario, Hastings Co. (ON), Latta [placekey:23251] (total:2)"
Crustacea,ELB 1966 W13,ELB 1966 W13,,"North America: United States, Washington, Thurston Co. (WA), Steamboat I. [placekey:27808] (total:13) | North America: United States, Washington, Mason Co. (WA) [placekey:3954] (total:1)"
"Crustacea, General Invertebrate",CMNI 1985-0269,Calanus 1962 62-2030 B-40,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Somerset I., Creswell Bay [placekey:19529] (total:13)"
"Crustacea, General Invertebrate",Calanus 1962 62-1107 9,Calanus 1962 62-1107 9,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Northwest Territories, Prince of Wales Strait [placekey:18090] (total:14)"
Mollusc,HBH 1962-08-17 17,HBH 1962-08-17 17,,"North America: Canada, Ontario, Hastings Co. (ON), Moira Riv. [placekey:23623] (total:8) | North America: Canada, Ontario, Hastings Co. (ON), Tweed Twp. [placekey:11921] (total:5) | North America: Canada, Ontario, Hastings Co. (ON), Moira Lake [placekey:26332] (total:1)"
Mollusc,HBH 1961-06-06 P-1901,HBH 1961-06-06 P-1901,,"North America: Canada, Ontario, Bay of Quinte [placekey:10332] (total:11) | North America: Canada, Ontario, Lennox and Addington Co. (ON) [placekey:867] (total:1) | North America: Canada, Ontario, Lennox and Addington Co. (ON), Bath [placekey:10714] (total:2)"
Lichen,CANL 130275,CANL 130275-Graham Co. (NC),,"North America: United States, North Carolina, Graham Co. (NC) [placekey:2934] (total:12) | North America: United States, North Carolina, Gates Co. [placekey:2933] (total:1)"
Mollusc,HBH 1961-10-20 P-1928,HBH 1961-10-20 P-1928,,"North America: Canada, Ontario, Lennox and Addington Co. (ON), Varty Lake [placekey:26355] (total:9) | North America: Canada, Ontario, Chatham-Kent, Camden [placekey:17265] (total:4)"
"Crustacea, General Invertebrate",CMNI 1900-2424,Calanus 1957 901,,"North America: Canada, Northwest Territories [placekey:14] (total:4) | North America: Canada, Nunavut, Foxe Basin [placekey:15293] (total:10)"
Mollusc,HBH 1961-05-08 Hungerford,HBH 1961-05-08 Hungerford,,"North America: Canada, Ontario, Hastings Co. (ON), Tweed Twp. [placekey:11921] (total:11) | North America: Canada, Ontario, Lennox and Addington Co. (ON), Adolphustown [placekey:24561] (total:1) | North America: Canada, Ontario, Chatham-Kent, Camden [placekey:17265] (total:1)"
Crustacea,ELB 1976 B20,ELB 1976 B20,,"North America: Canada, British Columbia, Clayoquot Land Distr. [placekey:286] (total:2) | North America: Canada, British Columbia, Long Beach Unit, Long Beach (BC) [placekey:8694] (total:11)"
"Crustacea, General Invertebrate",CMNI 1900-2470,DFO 1962 62-033,,"North America: Canada, Northwest Territories, Liverpool Bay [placekey:15925] (total:1) | North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Northwest Territories, Wood Bay [placekey:26428] (total:12)"
Mollusc,CMNML 070770,Kidd-1972-06-12 BTK 72-12,,"North America: Canada, Ontario, Grand Riv. [placekey:26236] (total:7) | North America: Canada, Ontario, Haldimand (ON), Byng [placekey:23081] (total:6)"
Mollusc,CMNML 026228,Herrington-1964-09-23 HBH 69,,"North America: Canada, Ontario, Prince Edward Co. (ON), North Port [placekey:23466] (total:11) | North America: Canada, Ontario, Bay of Quinte [placekey:10332] (total:2)"
Parasite,CMNPA 1984-5804,Arai 1965 HPA-148,,"North America: Canada, British Columbia, Range 2 Coast Land Distr., Burke Ch. [placekey:10233] (total:11) | North America: Canada, British Columbia, Range 2 Coast Land Distr., Fitz Hugh Sound [placekey:9590] (total:13)"
Crustacea,ELB 1975 P03a,ELB 1975 P03a,,"North America: Canada, British Columbia, Barclay Land Distr. [placekey:287] (total:1) | North America: Canada, British Columbia, Barclay Land Distr., Diana I. [placekey:9140] (total:1) | North America: Canada, British Columbia, Barclay Land Distr., Trevor Ch. [placekey:9365] (total:6) | North America: Canada, British Columbia, Barclay Land Distr., Sandford I. [placekey:28954] (total:5)"
Mollusc,HBH 1961-07-06 P-1903,HBH 1961-07-06 P-1903,,"North America: Canada, Ontario, Bay of Quinte [placekey:10332] (total:10) | North America: Canada, Ontario, Lennox and Addington Co. (ON), Greater Napanee [placekey:12190] (total:3)"
Parasite,CMNPA 1988-0501,CWS 1957 ThelonWS,,"North America: Canada, Nunavut, Thelon Game Sanctuary (NU) [placekey:10364] (total:6) | North America: Canada, Nunavut, Thelon Riv. (NU) [placekey:17446] (total:2) | North America: Canada, Northwest Territories, Thelon Riv. (NT) [placekey:10358] (total:5)"
Mollusc,CMNML 062740,AHC&LRC 1971-08-23 C1046,,"North America: Canada, Ontario, Chatham-Kent, Croton [placekey:24205] (total:1) | North America: Canada, Ontario, Sydenham Riv. [placekey:26333] (total:11)"
