mkey,date_collected
394166,1878
394167,1878
394168,1878
394169,1878
394170,1878
394171,1878
394172,1878
394173,1878
394174,1878
394175,1878
394176,1878
394177,1878
394178,1878
394179,1878
394180,1878
394181,1878
394182,1878
394183,1878
394184,1878
394185,1878
394186,1878
394187,1878
394188,1878
394189,1878
394190,1878
394191,1878
394192,1878
394193,1878
394194,1878
394195,1878
394196,1878
394197,1878
394198,1878
394199,1878
394200,1878
394201,1878
394202,1878
394203,1878
394204,1878
394205,1878
394206,1878
394207,1878
394208,1878
394209,1878
394210,1875
394211,1872
394212,1872
394213,1885
394214,1885
394218,1885
394222,1885
394225,1885
394226,1885
394228,1885
394229,1885
394230,1885
394232,1885
394233,1885
394234,1885
394244,1885
394245,1885
394247,1885
394248,1885
394249,1885
394269,1885
394274,1885
394281,1885
394283,1885
394291,1885
394304,1885
394305,1885
394306,1885
394334,1885
394335,1885
394347,1885
394352,1885
394358,1885
394359,1885
394366,1885 ?
394367,1885 ?
394374,1885
394377,1885
394378,1885
394383,1885
394384,1885
394385,1885
394388,1885-08
394389,1885
394390,1885
394391,1885
394401,1885-08
394404,1885
394406,1885-08
394407,1885
394408,1885
394409,1885
394413,1885
394418,1885
394419,1885
394424,1885
394425,1885-08
394426,1885
394429,1885
394430,1885
394437,1885
394439,1885-08
394440,1885
394441,1885
394442,1885
394445,1885
394448,1885
394453,1885
394454,1885
394455,1885
394456,1885
394457,1885
394458,1885
394459,1885
394460,1885
394461,1885
394462,1885
394464,1885
394465,1885-06
394470,1885
394471,1885
394472,1885
394474,1885-09
394475,1885
394480,1885
394481,1885
394484,1885-08
394485,1885
394486,1885
394487,1885
394492,1885
394496,1885
394499,1885
394500,1885
394501,1885
394503,1885
394507,1885
394521,1885
394524,1885
394525,1885
394528,1885
394535,1885
394541,1885
394542,1885-08
394545,1885
394546,1885
394547,1885
394548,1885
394549,1885
394550,1885
394552,1885
394553,1885
394554,1885
394555,1885
394560,1885
394563,1885
394569,1885
394570,1885
394571,1885-08
394572,1885-08
394575,1885
394579,1885
394580,1885
394587,1885
394588,1885
394590,1885
394598,1885
394607,1885
394608,1885
394610,1885
394611,1885
394614,1885
394615,1885
394616,1885
394617,1885
394619,1885
394624,1885
394625,1885
394626,1885
394627,1885
394629,1885
394630,1885
394631,1885
394633,1885
394634,1885
394636,1885
394638,1885-08
394639,1885
394640,1885
394641,1885
394642,1885
394644,1885
394645,1885
394646,1885
394648,1885
394649,1885
394650,1885
394651,1885
394652,1885
394653,1885
394654,1885
394655,1885
394658,1885
394660,1885
394661,1885
394662,1885
394663,1885
394664,1885
394665,1885
394666,1885
394667,1885
394668,1885
394669,1885
394670,1885
394671,1885
394672,1885
394673,1885
394674,1885
394675,1885
394676,1885
394677,1885
394678,1885
394679,1885
394680,1885
394681,1885
394682,1885
394683,1885
394684,1885
394685,1885
394686,1885
394687,1885
394688,1885
394689,1885
394690,1887
394691,1887
394692,1887
394693,1887
394694,1887
394695,1887
394696,1887
394697,1887
394698,1887
394699,1887
394700,1887
394701,1887
394702,1887
394703,1887
394704,1887
394705,1887
394706,1887
394707,1888
394708,1888
394709,1888
394710,1888
394711,1888
394712,1888
394713,1888
394714,1875
394715,1878
394716,1878
394717,1878
394718,1878
394719,1878
394720,1878
394721,1878
394722,1878
394723,1878
394724,1878
394725,1878
394726,1878
394727,1878
394728,1878
394729,1878
394730,1878
394731,1878
394732,1878
394733,1878
394734,1878
394735,1878
394736,1878
394737,1878
394738,1878
394739,1878
394740,1878
394741,1878
394742,1878
394743,1878
394744,1875
394745,1875
394746,1893
394747,1893
394748,1893
394749,1893
394750,1893
394751,1893
394752,1893
394753,1893
394754,1893
394755,1893
394756,1893
394757,1893
394758,1893
394759,1893
394760,1893
394761,1893
394762,1893
394763,1893
394764,1893
394765,1893
394766,1893
394767,1893
394768,1893
394769,1893
394770,1893
394771,1893
394772,1893
394773,1893
394774,1893
394775,1885
394776,1878
394777,1894
394778,1894-06
394779,1894
394780,1894-01
394781,1894
394782,1894
394783,1895
394784,1895
394785,1895
394786,1895
394787,1895
394788,1895-07
394789,1878
394790,1885
394791,1878
394792,1878
394793,1875
394796,1885-09
394797,1878
394798,1887
394799,1887
394800,1887
394801,1887
394802,1887
394803,1887
394844,1885
394845,1885
394846,1885
394848,1885
394850,1885
394851,1885
394852,1885
394853,1878
394854,1893
394855,1893
394856,1893
394857,1893
394858,1893
394859,1893
394860,1893
394861,1893
394862,1893
394863,1893
394864,1893
394865,1893
394866,1893
394867,1893
394868,1893
394869,1893
394870,1893
394871,1893
394872,1893
394873,1893
394874,1893
394875,1893
394876,1893
394877,1893
394878,1893
394879,1893
394880,1893
394881,1893
394882,1893
394883,1893
394884,1893
394885,1893
394886,1893
394887,1893
394888,1893
394889,1893
394890,1893
394891,1893
394892,1893
394893,1893
394894,1893
394895,1893
394896,1893
394897,1893
394898,1893
394899,1893
394900,1893
394901,1893
394902,1893
394903,1893
394904,1893
394905,1893
394906,1893
394907,1893
394908,1893
394909,1893
394910,1893
394911,1893
394912,1893
394913,1893
394914,1893
394915,1893
394916,1893
394917,1893
394918,1893
394919,1893
394920,1893
394921,1893
394922,1893
394923,1893
395078,1893
395079,1893
395080,1893
395082,1908
395085,1908-09
395086,1908-09
395346,1909-10
395347,1909-10
395348,1909-10
395349,1909-10
395350,1909-10
395352,1910-06
395353,1910-02
395355,1910
395356,1910
395357,1910
395358,1910
395360,1910-06
395361,1910-06
395362,1910-06
395363,1910-06
395364,1910-06
395365,1910-06
395366,1910-06
395367,1910-06
395368,1910-06
395371,1910-06
395372,1910-06
395373,1910-06
395374,1910-07
395375,1910-06
395376,1910-06
395377,1910-07
395378,1910-06
395379,1910-02
395382,1910-06
395383,1910-06
395384,1910-06
395385,1910-06
395386,1910-07
395387,1910-06
395388,1910-07
395390,1910-06
395391,1910-06
395392,1910-07
395393,1910-06
395394,1910-07
395396,1910-06
395397,1910-06
395398,1910-07
395399,1910-07
395400,1910-06
395401,1910-06
395402,1910-06
395404,1910-06
395405,1910-06
395406,1910-06
395407,1910-06
395408,1910-08
395409,1910-06
395410,1910-07
395411,1910-06
395413,1910-06
395414,1910-06
395415,1910-06
395416,1910-06
395417,1910-06
395418,1910-06
395419,1910-06
395421,1910-07
395423,1910-07
395424,1910-07
395425,1910-06
395426,1910-06
395427,1910-06
395428,1910-06
395430,1910-06
395431,1910-06
395432,1910-06
395433,1910-06
395434,1910-06
395435,1910-06
395436,1910-06
395437,1910-06
395438,1910
395439,1910-07
395440,1910-06
395441,1910-06
395442,1910-06
395443,1910-07
395444,1910-07
395445,1910-06
395448,1910-08
395449,1910-06
395450,1910-06
395451,1910-06
395453,1910-06
395454,1910-06
395455,1910-07
395456,1910-06
395458,1910-06; 1910-07
395459,1910-06
395460,1910-06
395462,1910-06
395463,1910-06; 1910-07
395464,1910-06; 1910-07
395465,1910-07
395466,1910-06
395467,1910-07
395468,1910-06
395470,1910-06
395471,1910-06
395472,1910-06
395473,1910-06
395474,1910-06
395475,1910-07
395476,1910-06
395477,1910-07
395478,1910-07
395479,1910-07
395480,1910
395482,1910-07
395483,1910-07
395484,1910
395486,1910
395487,1910-07
395489,1878
395491,1875
395492,1877
395497,1897
395498,1897
395499,1897
395500,1897
395501,1897
395502,1897
395503,1897
395504,1897
395505,1897
395506,1897
395507,1897
395508,1899-06
395509,1899-06
395510,1899-06
395511,1899-06
395512,1899-06
395513,1899-06
395514,1899-06
395515,1899-06
395516,1899-06
395521,1884
395522,1884
395523,1884
395524,1884
395525,1884
395526,1884
395527,1910-05
395528,1910-05
395530,1910-07
395532,1910-06
395534,1910-06
395535,1910-06
395536,1910-06
395537,1910-08
395550,1910-05
395551,1910-06; 1910-07
395552,1910-07; 1910-08
395553,1910-07; 1910-08
395554,1910-07; 1910-08
395555,1910-07; 1910-08
395556,1910-07; 1910-08
395557,1910-07; 1910-08
395558,1910-07; 1910-08
395559,1910-06
395560,1910-06
395561,1910-06
395562,1910-06
395563,1910-06
395564,1910-06
395565,1910-06
395566,1910-06
395567,1910-05
395568,1910-05
395569,1910-06
395570,1910-06; 1910-07
395572,1910-06; 1910-07
395573,1910-08
395574,1910-08
395575,1910-08
395576,1910-08
395577,1910-06
395578,1910-06
395579,1910-06
395580,1910-06
395581,1910-06
395582,1910-06
395583,1910-08
395584,1910-08 ?
395585,1910-06
395586,1910-06
395587,1910-06
395588,1910-06
395589,1910-08
395590,1910-08
395591,1910-08
395592,1910-05; 1910-06
395593,1910-05; 1910-06
395594,1910-05; 1910-06
395595,1910-05; 1910-06
395596,1910-05; 1910-06
395597,1910-05; 1910-06
395598,1910-06; 1910-07
395599,1910-08
395600,1910-05
395601,1910-07; 1910-08
395602,1910-07; 1910-08
395603,1910-06
395604,1910-06
395605,1910-07; 1910-08
395606,1910-07; 1910-08
395607,1910-06
395608,1910-06
395609,1910-06
395610,1910-06
395611,1910-07; 1910-08
395612,1910-07; 1910-08
395613,1910-06
395614,1910-06
395624,1910-05
395625,1910-05
395626,1910-06; 1910-07
395627,1910-07; 1910-08
395628,1910-07; 1910-08
395630,1910-08
395631,1910-07; 1910-08
395632,1910-07; 1910-08
395633,1910-07; 1910-08
395634,1910-07; 1910-08
395635,1910-07; 1910-08
395636,1910-07; 1910-08
395637,1910-07; 1910-08
395638,1910-07; 1910-08
395639,1910-05
395640,1910-07; 1910-08
395641,1910-06; 1910-07
395642,1910-06; 1910-07
395643,1910-06; 1910-07
395644,1910-07; 1910-08
395645,1910-05
395646,1910-05
395647,1910-06; 1910-07
395648,1910-06; 1910-07
395649,1910-07; 1910-08
395650,1910-07; 1910-08
395651,1910-07; 1910-08
395652,1910-07; 1910-08
395653,1910-07; 1910-08
395654,1910-07; 1910-08
395655,1910-06; 1910-07
395656,1910-06; 1910-07
395657,1910-06; 1910-07
395658,1901-09
395659,1898-08
395660,1898-08
395661,1909-07
395665,1907
395666,1907
395667,1862
395668,1862
395669,1862
395670,1862
395671,1862
395672,1863
395673,1863
395674,1861 - 1867
395675,1875
395676,1875
395677,1875
395678,1878
395679,1878
395680,1878-09
395681,1878
395682,1879
395683,1879
395684,1882
395687,1883
395688,1883
395691,1884
395692,1884
395693,1885
395695,1887
395696,1887
395697,1887
395698,1890
395699,1890
395701,1898
395702,1894
395703,1896
395704,1901
395706,1903
395707,1904
395708,1904
395709,1904
395710,1904
395740,1905
395741,1905
395742,1905-09
395743,1905
395744,1905
395749,1905
395767,1905
395769,1905
395770,1905
395773,1905
395774,1905
395775,1906-06
395776,1906-06
395777,1906-06
395778,1906-06
395779,1906-06
395780,1906-06
395781,1906-06
395782,1906-06
395783,1906-06
395803,1906
395804,1907
395805,1907
395812,1892
395813,1892
395814,1907
395815,1907
395820,1906
395821,1906
395822,1906
395823,1861
395824,1861
395825,1861
395826,1861
395827,1862
395828,1875
395829,1875
395830,1875
395831,1875
395832,1875
395833,1875
395834,1878
395835,1878
395836,1878
395840,1879
395845,1879
395847,1879
395848,1879
395849,1875
395850,1880
395851,1880
395852,1880
395853,1881
395856,1881
395857,1882
395858,1882
395859,1882
395860,1882
395861,1882
395862,1882
395863,1882-08
395864,1882
395871,1883
395876,1883
395890,1882
395894,1883
395895,1883
395896,1883
395897,1883
395900,1884
395901,1884
395902,1884
395903,1884
395904,1884
395905,1884
395906,1884
395907,1884
395908,1884
395909,1884
395910,1884
395911,1884
395915,1884
395916,1884
395921,1884
395922,1884
395923,1884
395927,1884
395928,1884
395929,1884
395930,1884
395931,1884
395932,1883
395933,1883
395934,1882
395935,1882
395936,1884
395937,1885
395938,1885
395939,1885
395940,1885
395941,1885
395942,1885
395944,1887
395945,1887
395946,1887
395947,1887
395948,1887
395949,1887
395950,1887
395951,1887
395952,1887
395953,1887
395954,1887
395955,1887-09
395960,1887
395961,1888
395962,1888
395963,1888
395964,1888
395965,1888
395966,1888
395967,1889
395968,1889
395970,1889-09
395971,1890-06
395972,1890-06
395973,1890-06
395974,1890-08
395975,1890-09
395976,1890-09
395977,1890-07
395980,1892
395981,1892
395982,1892
395986,1894
395987,1894
395988,1895-10
395989,1894
395990,1896-09
395991,1896
395995,1901
395996,1904
395997,1904
395998,1904
395999,1904 ?
396000,1904
396001,1904
396002,1896
396085,1905
396089,1905
396090,1905
396095,1905
396098,1905
396099,1905
396100,1905
396102,1906-06
396103,1906-06
396104,1906
396105,1905
396106,1906-06
396107,1906-08
396108,1906-08
396109,1906-08
396113,1899 ?
396114,1899 ?
396115,1899 ?
396116,1899
396117,1899-00-00
396118,1899
396119,1875
396120,1863
396121,1863
396122,1863
396123,1858
396124,1906
396127,1906
396128,1906
396129,1906
396130,1906
396131,1906
396134,1906
396135,1906
396140,1906
396142,1882
396143,1906-06
396146,1884
396147,1906
396148,1906
396149,1906
396150,1906
396151,1906
396152,1904
396155,1905
396156,1859
396157,1861
396158,1862
396159,1862
396160,1862
396161,1862
396162,1862
396163,1862
396164,1874-00-00
396165,1878
396167,1880
396168,1880
396169,1881-09
396170,1881
396171,1881
396172,1881
396173,1881
396177,1882
396179,1882-00-00
396183,1882
396184,1882-00-00
396185,1882-00-00
396186,1882
396187,1882
396188,1882
396189,1882
396190,1882
396191,1882
396192,1882
396193,1882
396194,1882
396195,1882
396196,1882
396197,1882
396198,1882-00-00
396199,1882
396200,1883
396201,1883
396202,1883
396203,1883
396204,1883
396205,1883
396206,1883
396207,1883
396208,1883
396209,1883
396210,1884
396211,1884
396212,1884
396213,1884
396214,1884
396215,1884
396216,1884
396217,1884
396218,1884
396219,1884
396220,1884
396221,1884-07
396222,1884-07
396223,1884
396224,1884
396225,1885
396226,1885
396227,1885
396228,1885
396229,1885
396230,1885
396231,1885
396232,1885
396233,1885
396234,1885
396235,1885
396237,1885
396238,1885-00-00
396239,1885
396240,1885
396241,1885-00-00
396242,1885
396243,1885
396244,1886
396246,1886-00-00
396247,1886
396248,1886
396249,1886
396250,1887
396251,1887
396253,1887
396254,1887
396255,1883
396256,1888
396257,1888
396258,1888
396259,1888
396260,1888
396261,1888
396262,1888
396263,1888-00-00
396264,1888
396265,1888
396266,1889
396267,1889
396268,1890
396269,1890
396270,1890
396271,1890
396272,1890
396273,1890
396274,1890
396275,1890
396276,1890
396277,1890
396278,1890
396279,1890-00-00
396280,1890-00-00
396281,1890
396282,1890
396283,1890
396284,1890
396285,1890
396286,1890
396287,1890
396288,1890-00-00
396289,1890
396290,1890
396291,1890
396292,1890-00-00
396293,1890
396294,1890
396295,1890
396296,1890-00-00
396297,1890
396298,1890
396299,1890
396300,1890
396301,1890
396302,1892-00-00 ?
396303,1884-07
396304,1885
396305,1885
396306,1885
396307,1885
396308,1883
396310,1894
396311,1894
396312,1894
396313,1894
396314,1894
396315,1894
396316,1894
396317,1894
396318,1894
396319,1894
396320,1894
396321,1894
396322,1894
396323,1894
396324,1894
396325,1894
396326,1894
396327,1894
396328,1894
396329,1894
396330,1894
396331,1894
396332,1894
396333,1894
396334,1894
396335,1894
396336,1894
396337,1894
396338,1894
396339,1894
396340,1894-09-00
396341,1894
396342,1894
396343,1885
396344,1887
396345,1890
396348,1896
396350,1900
396351,1901
396352,1901
396353,1901
396361,1894
396362,1901
396364,1902
396365,1904
396366,1905
396371,1906
396372,1906
396373,1906
396374,1906
396375,1906
396377,1906-00-00
396378,1906
396380,1906
396381,1906
396382,1906
396385,1905-08
396386,1905-08
396387,1895-08
396388,1895-08-00
396389,1895-08
396390,1895-08
396394,1885-10
396395,1885-10
396396,1887
396397,1907
396401,1884
396402,1906
396403,1931
396404,1931
396406,1929 / Season: summer
396407,1929 / Season: summer
396408,1929 / Season: summer
396409,1929 / Season: summer
396410,1929 / Season: summer
396413,1908
396414,1894
396415,1884
396423,1906
396424,1906
396425,1893-00-00
396472,1967-00-00
396564,1862
396584,1877
396585,1877
396611,1958-00-00
396613,1958-00-00
396614,1958
396615,1924
396617,1957
396618,1957
396619,1926
396620,1925-04
396621,1957-02
396622,1967-02
396627,1967
396630,1892
396634,1958
396646,1957
396649,1962
396654,1960-05
396655,1964-09
396660,1878
396665,1915-09
396667,1965 / Season: summer
396676,1975 / Season: summer
396677,1975 / Season: summer
396678,1975 / Season: summer
396683,1966
396684,1966
396685,1966
396686,1966
396687,1966
396688,1966
396689,1966
396690,1966
396691,1966
396692,1966
396693,1966
396694,1966
396695,1966
396696,1966
396697,1966
396698,1966
396699,1966
396700,1966
396701,1966
396702,1966
396703,1966
396704,1966
396705,1966
396706,1966
396707,1966
396708,1966
396709,1966
396710,1966
396711,1966
396712,1966
396713,1966
396714,1966
396715,1966
396716,1966
396717,1966
396718,1966
396719,1966
396720,1966
396721,1966
396722,1966
396723,1966
396724,1966
396725,1966
396726,1966
396727,1966
396728,1966
396729,1966
396730,1966
396731,1966
396732,1966
396733,1966
396734,1966
396735,1966
396736,1966
396737,1966
396738,1966
396739,1966
396740,1966
396741,1966
396742,1966
396743,1966
396744,1966
396745,1966
396746,1966
396747,1966
396748,1966
396749,1966
396750,1966
396751,1966
396752,1966
396753,1966
396754,1966
396755,1966
396756,1966
396757,1966
396758,1966
396759,1966
396760,1966
396761,1966
396762,1966
396763,1966
396764,1966
396765,1966
396766,1966
396767,1966
396768,1966
396769,1966
396770,1966
396771,1966
396772,1966
396773,1966
396774,1966
396775,1966
396776,1966
396777,1966
396778,1966
396779,1966
396780,1966
396781,1966
396782,1966
396783,1966
396784,1966
396785,1966
396786,1966
396787,1966
396788,1966
396789,1966
396790,1966
396791,1966
396792,1966
396793,1966
396794,1966
396795,1966
396796,1966
396797,1966
396798,1966
396799,1966
396800,1966
396801,1966
396802,1966
396803,1966
396804,1966
396805,1966
396806,1966
396807,1966
396808,1966
396809,1966
396810,1966
396811,1966
396812,1966
396813,1966
396814,1966
396815,1966
396816,1966
396817,1966
396818,1966
396819,1966
396820,1966
396821,1966
396822,1966
396823,1966
396824,1966
396825,1966
396826,1966
396827,1966
396828,1966
396829,1966
396830,1966
396831,1966
396832,1966
396833,1966
396834,1966
396835,1966
396836,1966
396837,1966
396838,1966
396839,1966
396840,1966
396841,1966
396842,1966
396843,1966
396844,1966
396845,1966
396846,1966
396847,1966
396848,1966
396849,1966
396850,1966
396851,1966
396852,1966
396853,1966
396854,1966
396855,1966
396856,1916-04
396857,1936-07
396858,1929 / Season: summer
396859,1928 / Season: summer
396861,1931
396865,1928
396866,1931
396867,1916-07
396868,1916-07
396873,1883-08
396874,1883-08
396877,1891-10 - 1891-11
396878,1893
396879,1893
396881,1908
396882,1908
396883,1908
396884,1861
396898,1959-10
396899,1959-10
396903,1886
396904,1890-00-00
396905,1890
396906,1890
396907,1890
396908,1890
396909,1894
396910,1894
396930,date unknown
396932,date unknown
396934,date unknown
396935,1935
397011,1962 / Season: summer
397012,1962-07
397013,1962-07
397043,1963
397048,1959-06
397049,1950-06
397052,1935-08
397053,1935-08
397056,1955
397057,1890
397058,1951-08
397059,1937
397060,1885
397061,1885
397063,1895
397076,1962-06 - 1962-08
397081,1968-08
397084,1911-1912
397104,1962
397140,1961
397162,1985-08-00
397164,1985-08
397168,1985-08 / Season: summer
397169,1985-08
397170,1985-08-00
397171,1985-08-00
397173,1985-08
397179,1985-06
397180,1985-08
397186,1985-08
397192,1935
397195,1950-06
397202,1936
397206,date unknown
397207,1933
397225,1897
397230,1960-07
397232,1960-07-00
397235,1960-07
397250,1937
397252,1962
397253,1962
397257,1962
397258,1962
397262,1962
397266,1933
397285,1975-08
397310,1946
397320,1876
397323,1903-1905
397327,1976-10
397335,1981-04-00
397336,1984-01-00
397345,1958-08
397366,1866
397368,1895
397370,1941
397374,1945
397375,1940
397376,1940
397387,1839
397388,1975-11
397402,1915-12-33(?)
397410,1966-06
397414,1859-60
397421,1904-07
397450,1943-0-11-10
397453,1975-01
397458,1969
397480,1938
397482,1962-04
397484,1871
397485,1865
397488,1896
397492,1940
397500,1937
397502,1904
397507,1908-04
397509,1941
397513,1960-0530
397518,1940
397523,1853
397524,1853
397541,1964-07
397544,1965-09
397549,1978-04
397551,1849
397552,1869
397554,1965-09
397559,1938
397561,1944
397562,1944
397563,1944
397564,1944 ?
397565,1944
397566,1944
397567,19010500
397568,1939
397571,1972-10-00; autopsy date 1973-05-22
397572,1972-10-00; autopsy date 1973-06-06
397573,1972-10-00; autopsy date 1973-06-11
397574,1972-10-00; autopsy date 1973-06-01
397576,1939
397580,1972-10-00; autopsy date 1973-06-05
397581,1972-10-00; autopsy date 1973-06-07
397582,1972-10-00; autopsy date 1973-05-24
397584,1958-07
397585,1893
397588,1843-10
397591,1972-10-00; autopsy date 1973-06-08
397594,1972-10-00; autopsy date 1973-05-29
397595,1972-10-00; autopsy date 1973-06-13
397596,1972-10-00; autopsy date 1973-05-08
397599,1899-12
397600,1899-12
397602,1865
397605,1965-09
397607,1965-09
397611,1874
397618,1931
397619,1931
397620,1940
397621,1874
397622,1950
397623,1950
397625,1924
397626,1924
397627,1951
397628,1929
397632,1915
397633,1929
397634,1958
397635,1950
397636,1950
397637,1944
397638,1934
397639,1930
397640,1896
397641,1951
397643,1879
397644,1921
397645,1924
397646,1972-08-00; date approximate
397647,1949
397648,1949
397649,1965
397650,1949
397652,1949
397653,1954-00-00; date approximate
397654,1895-11-00; date approximate
397655,1938
397656,1943
397658,1968
397659,1913-07-00
397665,1913
397669,1949
397671,1914
397672,1928
397673,1927
397674,1931
397677,1949
397678,1933
397679,1950
397680,1955
397682,1912
397683,1912
397684,1852
397685,1950
397686,1950
397687,1950
397688,1910-04
397692,1983-09-00
397695,1927
397696,1876
397697,1933
397698,1923
397699,1923
397700,1897-9
397703,1950
397704,1950
397705,1950
397710,1950
397711,1940
397712,1931
397713,1939
397714,1952
397715,1952
397716,1908
397717,1947
397718,1925
397719,1949
397722,1841
397724,1976
397725,1871
397735,1983-08
397737,1888-07
397739,1914
397741,1914
397742,1914
397743,1914
397744,1914
397745,1914
397746,1914
397747,1914
397749,1914
397754,1913
397793,1991-09-00
397795,1991-09-00
397817,1912
397818,1916
397828,1921
397845,1866
397847,1894-05
397849,1965-09
397862,1965-09
397863,1943
397865,1905-04
397869,1982-06-00
397881,1949-04
397882,1929
397889,1908
397890,1951-09
397891,1933
397893,1952-01
397895,1947-09
397897,1967-08
397899,1947
397901,1951-09
397902,1935
397904,1949-10
397907,1951-08
397940,1966
397941,1966
397942,1966
397943,1966
397944,1966
397945,1966
397946,1966
397947,1966
397948,1966
397949,1966
397950,1966
397951,1966
397952,1966
397958,1966
397959,1966
397960,1966
397962,1966
397964,1966
397965,1966
397966,1966
397967,1966
397968,1966
397969,1966
397970,1966
397971,1966
397972,1966
397973,1966
397975,1966
397976,1966
397977,1966
397978,1966
397990,1987-05-00
398007,1966
398008,1966
398009,1966
398010,1966
398011,1966
398012,1966
398013,1966
398014,1966
398015,1966
398016,1966
398017,1966
398018,1966
398019,1966
398020,1966
398023,1966
398024,1966
398134,1884
398135,1889
398140,1913
398145,1917
398155,1987-05-00
398165,1947
398166,1947
398167,1947
398169,1913
398170,1926
398171,1968-09-00
398173,1968-09-00
398181,1914
398185,1976-05-00
398212,1986-10-00
398214,1962-08-00
398278,1956-12-00
398279,1965-04-00
398284,1956-09-00
398288,1992-09-00
398300,1982-07-00
398341,1928-01-00
398360,1954-12-00
398387,1975-11-00
398401,1956?
398425,1984-12-00
398469,1969-04-00
398485,1982-10-00
398494,1915
398495,1915
398496,1915
398497,1915
398498,1915
398499,1915
398500,1915
398501,1915
398502,1915
398503,1915
398504,1915
398505,1915
398506,1915
398507,1915
398508,1915
398509,1915
398510,1915
398511,1915
398512,1915
398513,1915
398514,1915
398515,1915
398516,1915
398517,1915
398518,1915
398519,1915
398520,1915
398521,1915
398522,1915
398523,1915
398524,1915
398525,1915
398526,1915
398527,1915
398528,1915
398529,1915
398530,1915
398531,1915
398532,1915
398533,1915
398534,1915
398535,1915
398536,1915
398537,1915
398538,1915
398539,1915
398540,1915
398541,1915
398542,1915
398543,1915
398557,1915
398558,1915
398559,1915
398560,1915
398561,1915
398562,1915
398563,1915
398564,1915
398565,1901-09
398566,1901
398567,1915
398568,1915
398569,1915
398570,1915
398571,1915
398572,1915
398573,1915
398574,1915
398575,1915
398576,1915
398577,1915
398597,1915
398598,1915
398599,1915
398600,1915
398601,1915
398602,1915
398603,1915
398604,1915
398605,1915
398606,1915
398607,1915
398608,1915
398609,1915
398610,1915
398611,1915
398612,1915
398613,1915
398614,1915
398615,1915
398616,1915
398617,1915
398620,1990-12-00
398622,1915
398625,1901
398626,1915
398627,1915
398628,1915
398629,1915
398673,1927 (before)
398674,1927 (before)
398677,"1927, prior"
398696,1915
398697,1915
398698,1915
398699,1915
398700,1915
398701,1915
398702,1915
398703,1915
398704,1915
398705,1915
398713,1850-06-00
398714,1850-06-00
398743,1849-08-00 - 1849-09-00
398746,1915
398747,1915
398748,1915
398749,1915
398750,1915
398751,1915
398752,1915
398753,1915
398754,1915
398755,1915
398756,1915
398757,1915
398758,1915
398759,1915
398774,1915
398775,1915
398777,1967
398778,1967
398782,1907-08
398784,1899-07
398787,1963-10
398788,1963-10
398790,1896-06
398792,1901-06
398793,1901-07
398796,1916-07
398799,1909
398803,1917-08
398810,1915-11
398814,1898-02
398816,1898-05
398818,1914-03
398820,1898-11
398821,1912
398822,1912 (purchase date)
398823,1912 (purchase date)
398824,1912 (purchase date)
398825,1912 (purchase date)
398826,1912 (purchase date)
398827,1912 (purchase date)
398828,1912 (purchase date)
398829,1912 (purchase date)
398830,1911-1912
398832,1912 (purchase date)
398833,1912 (purchase date)
398834,1912 (purchase date)
398835,1912 (purchase date)
398836,1912 (purchase date)
398837,1912 (purchase date)
398838,1912 (purchase date)
398839,1912 (purchase date)
398840,1912 (purchase date)
398841,1911-1912
398842,1912 (purchase date)
398843,1912 (purchase date)
398844,1912 (purchase date)
398845,1912 (purchase date)
398846,1912 (purchase date)
398847,1912 (purchase date)
398848,1912 (purchase date)
398849,1912 (purchase date)
398850,1912 (purchase date)
398851,1912 (purchase date)
398852,1911-1912
398853,1912 (purchase date)
398854,1912 (purchase date)
398855,1912 (purchase date)
398856,1912 (purchase date)
398857,1912 (purchase date)
398858,1912 (purchase date)
398859,1912 (purchase date)
398860,1912
398861,1911
398862,1911
398863,1911
398864,1911-1912
398865,1911-1912
398866,1911-1912
398867,1912 (purchase date)
398868,1911-1912
398869,1911-1912
398870,1912 (purchase date)
398871,1912 (purchase date)
398872,1912 (purchase date)
398873,1912 (purchase date)
398874,1912 (purchase date)
398875,1912 (purchase date)
398876,1912 (purchase date)
398877,1912 (purchase date)
398878,1912 (purchase date)
398879,1912 (purchase date)
398880,1912 (purchase date)
398881,1912 (purchase date)
398882,1912 (purchase date)
398883,1912 (purchase date)
398884,1912 (purchase date)
398885,1912 (purchase date)
398886,1912 (purchase date)
398887,1912 (purchase date)
398888,1912 (purchase date)
398889,1912 (purchase date)
398890,1912 (purchase date)
398891,1912 (purchase date)
398892,1912 (purchase date)
398893,1912 (purchase date)
398894,1912 (purchase date)
398895,1912 (purchase date)
398896,1912 (purchase date)
398897,1912 (purchase date)
398898,1912 (purchase date)
398899,1914
398900,1912 (purchase date)
398901,1912 (purchase date)
398902,1912 (purchase date)
398903,1912 (purchase date)
398904,1912 (purchase date)
398905,1912 (purchase date)
398906,1912 (purchase date)
398907,1912 (purchase date)
398908,1912 (purchase date)
398909,1912 (purchase date)
398910,1912 (purchase date)
398911,1912 (purchase date)
398912,1912 (purchase date)
398913,1912 (purchase date)
398914,1912 (purchase date)
398915,1912 (purchase date)
398916,1912 (purchase date)
398917,1912 (purchase date)
398918,1912 (purchase date)
398919,1912 (purchase date)
398920,1912 (purchase date)
398921,1912 (purchase date)
398922,1912 (purchase date)
398923,1912 (purchase date)
398924,1912 (purchase date)
398925,1912 (purchase date)
398926,1912 (purchase date)
