id_number,label_name,taxon_link,ident,id_date,type_status,higher_taxa,count,sex,coll_num,collector,place_collected,date_collected,spec_nature,description,acq_number,site_desc,altitude,lat,long,site_notes,home_loc
CAN 105612,Antennaria alborosea Porsild ex M.P. Porsild,Antennaria rosea subsp. rosea,,"",,Plantae; Magnoliophyta; Magnoliopsida; Asteridae; Asterales; Asteraceae; Antennaria; Antennaria rosea,1,,10.633,"Porsild, A. Erling; Breitung, August J.J.","North America: Canada, Yukon Territory, Canol Road (YK)",1944-07-19,dry,,"",Mile 102.  Rose-Lapie R. Pass; near headwaters of Lapie R.  Elev. 3600'.,1097.28 m,61.75,-133.083333,Meadows and grassy slopes.,
CAN 105613,Antennaria alborosea Porsild ex M.P. Porsild,Antennaria rosea subsp. rosea,,"",,Plantae; Magnoliophyta; Magnoliopsida; Asteridae; Asterales; Asteraceae; Antennaria; Antennaria rosea,1,,9.326,"Porsild, A. Erling; Breitung, August J.J.","North America: Canada, Yukon Territory, Canol Road (YK)",1944-07-19,dry,,"",Mile 105.  Rose-Lapie R. Pass.  Near Lapie Lake. Elev. 3600'.,1097.28 m,61.75,-133.083333,Open willow-covered slope.,
CAN 105614,Antennaria alborosea Porsild ex M.P. Porsild,Antennaria rosea subsp. rosea,,"",,Plantae; Magnoliophyta; Magnoliopsida; Asteridae; Asterales; Asteraceae; Antennaria; Antennaria rosea,1,,10.325,"Porsild, A. Erling; Breitung, August J.J.","North America: Canada, Yukon Territory, Canol Road (YK)",1944-07-19,dry,,"",Mile 77.  East slope of Rose R. valley near pump staion No. 10; elev. 3000'.,914.4 m,61.25,-133.0,Pine and spruce bogs.,
CAN 105615,Antennaria alborosea Porsild ex M.P. Porsild,Antennaria rosea subsp. rosea,,"",,Plantae; Magnoliophyta; Magnoliopsida; Asteridae; Asterales; Asteraceae; Antennaria; Antennaria rosea,1,,10.966,"Porsild, A. Erling; Breitung, August J.J.","North America: Canada, Yukon Territory, Canol Road (YK)",1944-07-19,dry,,"",Mile 77.  Rose R. valley; east of mile 77.,"",61.25,-133.0,Alpine slopes of mountain.,
CAN 105616,Antennaria alborosea,Antennaria rosea subsp. rosea,,"",,Plantae; Magnoliophyta; Magnoliopsida; Asteridae; Asterales; Asteraceae; Antennaria; Antennaria rosea,1,,10446,"Porsild, A. Erling; Breitung, August J.J.","North America: Canada, Yukon Territory, Rose Riv.",1944-07-06,dry,,"",Canol Road: Mile 95. Upper Rose R. valley,1097.29 m,61.5,-132.983333,Outwash fan.,
CAN 105617,Antennaria alborosea,Antennaria rosea subsp. rosea,,"",,Plantae; Magnoliophyta; Magnoliopsida; Asteridae; Asterales; Asteraceae; Antennaria; Antennaria rosea,1,,10868,"Porsild, A. Erling; Breitung, August J.J.","North America: Canada, Yukon Territory, Nisutlin Riv.",1944-07-06,dry,,"",Canol Road: Mile 36-42. Along west banks of Nisutlin R.,838.20 m,60.233333,-132.566667,"Open spruce forest, along river banks and alluvial flats.",
CAN 105618,Antennaria alborosea,Antennaria rosea subsp. rosea,,"",,Plantae; Magnoliophyta; Magnoliopsida; Asteridae; Asterales; Asteraceae; Antennaria; Antennaria rosea,1,,11014,"Porsild, A. Erling; Breitung, August J.J.","North America: Canada, Yukon Territory, Canol Road (YK)",1944-07-06,dry,,"","Pass between Teslin and Nisutlin Rivers. Granite mountain east of pass, opposite mile 10-14.",1371.60 - 1826.80 m,60.483333,-133.3,Alpine slopes and summit of mountain,
CAN 105619,Antennaria alborosea Porsild ex M.P. Porsild,Antennaria alborosea,"Porsild, A.E.",1944,HOLOTYPE,Plantae; Magnoliophyta; Magnoliopsida; Asteridae; Asterales; Asteraceae; Antennaria; Antennaria rosea,1,,10190,"Porsild, A. Erling; Breitung, August J.J.","North America: Canada, Yukon Territory, Canol Road (YK)",1944-07-06,,,"",East side of Rose River valley;  granite mountain opposite mile 85-90.  Elev. 5000-6000'.,1524.0-1828.8 m,61.166667,-132.983333,Dry alpine slope,
CAN 105620,Antennaria rosea var. rosea,Antennaria rosea,,"",,Plantae; Magnoliophyta; Magnoliopsida; Asteridae; Asterales; Asteraceae; Antennaria,1,,737,"Porsild, Morten P.","North America: Canada, Yukon Territory",1947-08-14,dry,,"",,,,,,
CAN 105621,Antennaria howellii subsp. howellii,Antennaria howellii subsp. howellii,,"",,Plantae; Magnoliophyta; Magnoliopsida; Asteridae; Asterales; Asteraceae; Antennaria; Antennaria howellii,1,,762,"Porsild, Morten P.","North America: Canada, Yukon Territory",1947-08-16,dry,Enormous tuft,"",Johnson's Crossing at the road to the Teslin,685.80 m,60.483333,-133.166667,,
CAN 105622,Antennaria howellii subsp. howellii,Antennaria howellii subsp. howellii,,"",,Plantae; Magnoliophyta; Magnoliopsida; Asteridae; Asterales; Asteraceae; Antennaria; Antennaria howellii,1,,578,"Porsild, Morten P.","North America: Canada, Yukon Territory",1947-07-26,dry,"Stout, green leaved, a proleptic head has intensively pink phyllaries.","","Johnson's Crossing, near clubhouse",685.80 m,60.483333,-133.166667,,
CAN 105623,Antennaria howellii subsp. howellii,Antennaria howellii subsp. howellii,,"",,Plantae; Magnoliophyta; Magnoliopsida; Asteridae; Asterales; Asteraceae; Antennaria; Antennaria howellii,1,,577,"Porsild, Morten P.","North America: Canada, Yukon Territory",1947-07-26,dry,Stout green leaved.,"","Johnson's Crossing, near clubhouse",685.80 m,60.483333,-133.166667,,
CAN 106040,Antennaria stolonifera,Antennaria alpina,,"",PARATYPE,Plantae; Magnoliophyta; Magnoliopsida; Asteridae; Asterales; Asteraceae; Antennaria,1,,10448,"Porsild, A. Erling; Breitung, August J.J.","North America: Canada, Yukon Territory, Rose Riv.",1944-07-12,dry,,"",Canol Road: Mile 95. Upper Rose River Valley.,1097.28 m,61.5,-133.083333,Gravelly outwash plain.,
CAN 106041,Antennaria stolonifera,Antennaria alpina,,"",PARATYPE,Plantae; Magnoliophyta; Magnoliopsida; Asteridae; Asterales; Asteraceae; Antennaria,1,,10232,"Porsild, A. Erling; Breitung, August J.J.","North America: Canada, Yukon Territory, Rose Riv.",1944-07-09,dry,,"","Canol Road: Granite mountain range west of upper Rose R., opposite mile 95.",1524.00 - 2042.16 m,61.5,-133.083333,Alpine slopes and ravines from timberline to summit. Rocky slope.,
CAN 106042,Antennaria media,Antennaria media,,"",PARATYPE,Plantae; Magnoliophyta; Magnoliopsida; Asteridae; Asterales; Asteraceae; Antennaria,1,,10231,"Porsild, A. Erling; Breitung, August J.J.","North America: Canada, Yukon Territory, Rose Riv.",1944-07-09,dry,,"","Canol Road: Granite mountain range west of upper Rose R., opposite mile 95.",1524.00 - 2042.16 m,61.5,-133.083333,Alpine slopes and ravines from timberline to summit.,
CAN 106043,Antennaria stolonifera,Antennaria alpina,,"",PARATYPE,Plantae; Magnoliophyta; Magnoliopsida; Asteridae; Asterales; Asteraceae; Antennaria,1,,10586,"Porsild, A. Erling; Breitung, August J.J.","North America: Canada, Yukon Territory, Rose Riv.",1944-07-15 - 1944-07-16,dry,Achenes very hispid.,"","Canol Road: Granite mountain range west of upper Rose R., opposite mile 95.",1706.88 - 1828.80 m,61.5,-133.083333,"Alpine meadows and ""flower gardens"".",Natural Heritage Building/ Herbarium
CAN 106044,Antennaria stolonifera,Antennaria alpina,,"",PARATYPE,Plantae; Magnoliophyta; Magnoliopsida; Asteridae; Asterales; Asteraceae; Antennaria,1,,11155,"Porsild, A. Erling; Breitung, August J.J.","North America: Canada, Yukon Territory, Canol Road (YT)",1944-07-03,dry,,"",Canol Road: Mile 10-14. Pass between Teslin and Nisutlin Rivers.,1219 m,60.5,-133.0,Treeless alpine meadow.,Natural Heritage Building/ Herbarium
CAN 106045,Antennaria media,Antennaria media,,"",PARATYPE,Plantae; Magnoliophyta; Magnoliopsida; Asteridae; Asterales; Asteraceae; Antennaria,1,,11052A,"Porsild, A. Erling; Breitung, August J.J.","North America: Canada, Yukon Territory, Teslin Riv.  (YK)",1944-07-30,dry,,"","Canol Road: Pass between Teslin and Nisutlin Rivers. Mountain east of pass, opposite mile 10-14.",1371.60 - 1828.80 m,60.5,-133.0,Alpine slopes and summit of granite mountain.,
CAN 106046,Antennaria stolonifera,Antennaria alpina,,"",PARATYPE,Plantae; Magnoliophyta; Magnoliopsida; Asteridae; Asterales; Asteraceae; Antennaria,1,,11051,"Porsild, A. Erling; Breitung, August J.J.","North America: Canada, Yukon Territory, Teslin",1944-07-30,dry,Achenes very hispid.,"","Canol Road: Pass between Teslin and Nisutlin Rivers. Granite mountain east of pass, opposite Mile 10 - 14.","",60.5,-133.0,Alpine slopes and summit of mountain.,
CAN 106047,Antennaria stolonifera Porsild,Antennaria alpina,,"",HOLOTYPE,Plantae; Magnoliophyta; Magnoliopsida; Asteridae; Asterales; Asteraceae; Antennaria,1,,11377,"Porsild, A. Erling; Breitung, August J.J.","North America: Canada, Yukon Territory, Canol Road (YK)",1944-08-28,dry,Series from the vicinity of snowfield showing seasonal variation.,"",Upper south fork of MacMillan R.;  shale mountain  west of river opposite mile 268.  Elev. 3750' to about 6000'.,1143-1828.8 m,63.833333,-130.5,Shale mountain.  Series from the vicinity of snowfield showing seasonal variation.,
CAN 106048,Antennaria pedunculata Porsild,Antennaria alpina,,"",HOLOTYPE,Plantae; Magnoliophyta; Magnoliopsida; Asteridae; Asterales; Asteraceae; Antennaria,1,,10447,"Porsild, A. Erling; Breitung, August J.J.","North America: Canada, Yukon Territory, Canol Road (YK)",1944-07-12,dry,,"",Mile 95.  Upper Rose River Valley.  Elev. 3600'.,"",61.5,-133.083333,Gravelly outwash plain.,
CAN 106049,Antennaria pedunculata,Antennaria alpina,,"",PARATYPE,Plantae; Magnoliophyta; Magnoliopsida; Asteridae; Asterales; Asteraceae; Antennaria,1,,10191,"Porsild, A. Erling; Breitung, August J.J.","North America: Canada, Yukon Territory, Rose Riv.",1944-07-06,dry,,"","Canol Road: Granite mountain opposit mile 85 - 90, East side of Rose River Valley",1524.00 m,61.416667,-133.083333,Dry slope,
CAN 106050,"Antennaria pedunculata Porsild, A.E.",Antennaria alpina,,"",PARATYPE,Plantae; Magnoliophyta; Magnoliopsida; Asteridae; Asterales; Asteraceae; Antennaria,1,,10965,"Porsild, A. Erling; Breitung, August J.J.","North America: Canada, Yukon Territory, Rose Riv.",1944-07-04,dry,,"","Canol Road: mountain east of Mile 77, Rose River Valley","",61.25,-133.0,Alpine slopes of mountain.,
CAN 106099,Antennaria friesiana subsp. friesiana,Antennaria friesiana subsp. friesiana,"Bayer, Randall J.",1992,,Plantae; Magnoliophyta; Magnoliopsida; Asteridae; Asterales; Asteraceae; Antennaria; Antennaria friesiana,1,,9954,"Porsild, A. Erling; Breitung, A.J.","North America: Canada, Yukon Territory, Canol Road (YT)",1944-06-26,dry,,"",Canol Rd.: Mile 132. Lower Lapie R. Crossing.,"",0.0,0.0,Grassy summit and upper slopes of mountain south of road.,
CAN 106100,Antennaria friesiana subsp. friesiana,Antennaria friesiana subsp. friesiana,"Bayer, Randall J.",1992,,Plantae; Magnoliophyta; Magnoliopsida; Asteridae; Asterales; Asteraceae; Antennaria; Antennaria friesiana,1,,11011,"Porsild, A. Erling; Breitung, A.J.","North America: Canada, Yukon Territory, Canol Road (YT)",1944-07-06,dry,,"",Canol Rd.: Pass between Teslin and Nisutlin Rivers. Opposite mile 10-14,"",0.0,0.0,Alpine slopes and summit of granite mountain east of pass. Rocky summit,
CAN 106101,Antennaria alpina var. canescens,Antennaria alpina,,"",,Plantae; Magnoliophyta; Magnoliopsida; Asteridae; Asterales; Asteraceae; Antennaria,1,,11271,"Porsild, A. Erling; Breitung, August J.J.","North America: Canada, Yukon Territory",1944-08-31 - 1944-09-04,dry,,"",,,,,,
CAN 106113,Antennaria alpina,Antennaria alpina,,"",,Plantae; Magnoliophyta; Magnoliopsida; Asteridae; Asterales; Asteraceae; Antennaria,1,,11012,"Porsild, A. Erling; Breitung, August J.J.","North America: Canada, Yukon Territory",1944-07-06,dry,,"",,,,,,
CAN 106114,Antennaria densifolia,Antennaria alpina,,"",,Plantae; Magnoliophyta; Magnoliopsida; Asteridae; Asterales; Asteraceae; Antennaria,1,,10.192,"Porsild, A. Erling; Breitung, August J.J.","North America: Canada, Yukon Territory",1944-07-06,dry,,"",,,,,,
CAN 106115,Antennaria media,Antennaria media,,"",,Plantae; Magnoliophyta; Magnoliopsida; Asteridae; Asterales; Asteraceae; Antennaria,1,,11098,"Porsild, A. Erling; Breitung, August J.J.","North America: Canada, Yukon Territory, Sheldon Mountain",1944-08-13,dry,,"",Canol Road: Northeast shoulder of Mt. Sheldon and glacial cirque.,944.88 - 1828.80 m,62.733333,0.0,Stony ridge.,
CAN 106116,Antennaria alpina,Antennaria alpina,,"",,Plantae; Magnoliophyta; Magnoliopsida; Asteridae; Asterales; Asteraceae; Antennaria,1,,11642,"Porsild, A. Erling; Breitung, August J.J.","North America: Canada, Yukon Territory",1944-08-07,dry,,"",,,,,,
CAN 106117,Antennaria alpina,Antennaria alpina,,"",,Plantae; Magnoliophyta; Magnoliopsida; Asteridae; Asterales; Asteraceae; Antennaria,1,,11756,"Porsild, A. Erling; Breitung, August J.J.","North America: Canada, Yukon Territory",1944-08-11,dry,,"",,,,,,
CAN 106121,Antennaria densifolia Porsild,Antennaria densifolia,"Wynne-Edwards, V.C.",1944,HOLOTYPE,Plantae; Magnoliophyta; Magnoliopsida; Asteridae; Asterales; Asteraceae; Antennaria,1,,8384,"Wynne-Edwards, V.C.","North America: Canada, Yukon Territory, Canol Road (YK)",1944-07-25,dry,,"","Mile 111 East.  Mountain range west of head of Bolstead Creek, 6 miles northwest of Pump Station No. 4.  Elevation 6000'.",1828.8 m,64.45,-128.033333,,
CAN 106131,Antennaria pallida,Antennaria umbrinella,,"",,Plantae; Magnoliophyta; Magnoliopsida; Asteridae; Asterales; Asteraceae; Antennaria,1,,11.052,"Porsild, A. Erling; Breitung, August J.J.","North America: Canada, Yukon Territory",1944-07-30,dry,,"",,,,,,
CAN 106137,Antennaria monocephala var. angusta,Antennaria monocephala subsp. angustata,,"",,Plantae; Magnoliophyta; Magnoliopsida; Asteridae; Asterales; Asteraceae; Antennaria; Antennaria monocephala,1,,10153,"Porsild, A. Erling; Breitung, August J.J.","North America: Canada, Yukon Territory",1944-06-29,dry,,"",,,,,,
CAN 0018741A,Carex brunnescens subsp. alaskana,Carex brunnescens subsp. alaskana,,"",ISOTYPE,Plantae; Magnoliophyta; Liliopsida; Commelinidae; Cyperales; Cyperaceae; Carex; Carex brunnescens,1,,10258,"Porsild, A. Erling; Breitung, August J.J.","North America: Canada, Yukon Territory",1944-07-03,dry,,"",Canol Road  East slope of Rose River valley near pump station No. 10 at Nule 77,"",0.0,0.0,,Natural Heritage Building/ Herbarium
CAN 0018848A,Salix reticulata subsp. reticulata,Salix reticulata subsp. reticulata,,"",,Plantae; Magnoliophyta; Magnoliopsida; Dilleniidae; Salicales; Salicaceae; Salix; Salix reticulata,1,,S.N.,Dawson,"North America: Canada, Yukon Territory",1887-07-18,,,"",Finlayson River  Frances Lake Quad.,"",61.483333,-129.683333,,
CAN 0025031A,Astragalus limnocharis,Astragalus limnocharis,,"",,Plantae; Magnoliophyta; Magnoliopsida; Rosidae; Fabales; Fabaceae; Astragalus,1,,53846,"Macoun, John","North America: Canada, Yukon Territory",1902-08-08,,,"",Dawson Creek,"",0.0,0.0,,
CAN 0025174A,Cochlearia cyclocarpa,Cochlearia cyclocarpa,,"",PARATYPE,Plantae; Magnoliophyta; Magnoliopsida; Dilleniidae; Capparales; Brassicaceae; Cochlearia,1,,53853,"Macoun, John","North America: Canada, Yukon Territory",1902-07-16,,,"",Dawson  West Dawson,"",0.0,0.0,,
CAN 0075151A,Lupinus arcticus subsp. arcticus,Lupinus arcticus subsp. arcticus,,"",ISOTYPE,Plantae; Magnoliophyta; Magnoliopsida; Rosidae; Fabales; Fabaceae; Lupinus; Lupinus arcticus,1,,9449,"Anderson, J.P.","North America: Canada, Yukon Territory",1944-07-24,,,"",Kluane Lake  South end of Kluane Lake. Near Kluane National Park and Reserve.,"",0.0,0.0,,
CAN 0075252A,"Lupinus jacob-andersoni Smith, C.P.",Lupinus,,"",ISOTYPE,Plantae; Magnoliophyta; Magnoliopsida; Rosidae; Fabales; Fabaceae,1,,9535,"Anderson, J.P.","North America: Canada, Yukon Territory",1944-07-29,,,"",Whitehorse  Along railroad,"",0.0,0.0,,
CAN 0098668A,Veronica,Veronica,,"",,Plantae; Magnoliophyta; Magnoliopsida; Asteridae; Scrophulariales; Scrophulariaceae,1,,11911,"Porsild, A. Erling; Breitung, August J.J.","North America: Canada, Yukon Territory",1944-07-12,,,"","Canol Road  Mile 98-99, Rose-Lapie River Pass","",0.0,0.0,,
CAN 0269665A,Salix reticulata subsp. reticulata,Salix reticulata subsp. reticulata,,"",,Plantae; Magnoliophyta; Magnoliopsida; Dilleniidae; Salicales; Salicaceae; Salix; Salix reticulata,1,,7586,"Schofield, W.","North America: Canada, Yukon Territory",1957-07-07,,,"",Mackintosh  Dezadeash Quad. Kluane National Park and Reserve,"",60.8,-137.616667,,
CAN 0274631A,Salix reticulata subsp. reticulata,Salix reticulata subsp. reticulata,,"",,Plantae; Magnoliophyta; Magnoliopsida; Dilleniidae; Salicales; Salicaceae; Salix; Salix reticulata,1,,116,"Spetzman, Lloyd A.","North America: Canada, Yukon Territory",1962-07-09,,,"",Mt Bratnober  Dezadeash Quad.,"",60.733333,-136.533333,,
CAN 0279587A,Salix reticulata subsp. reticulata,Salix reticulata subsp. reticulata,,"",,Plantae; Magnoliophyta; Magnoliopsida; Dilleniidae; Salicales; Salicaceae; Salix; Salix reticulata,1,,363,"Youngman, Philip M.","North America: Canada, Yukon Territory",1963-07-18,,,"",Ogilvie Mts  Dawson Quad.,"",64.5,-138.466667,,
CAN 0280171A,Salix polaris,Salix polaris,,"",,Plantae; Magnoliophyta; Magnoliopsida; Dilleniidae; Salicales; Salicaceae; Salix,1,,12588,"Raup, Hugh M.","North America: Canada, Yukon Territory",1944-07-18,,,"",(Kluane National Park and Reserve). Slims River  Mount St Elias Quad.,"",60.95,-138.416667,,
CAN 0283818A,Salix reticulata subsp. reticulata,Salix reticulata subsp. reticulata,,"",,Plantae; Magnoliophyta; Magnoliopsida; Dilleniidae; Salicales; Salicaceae; Salix; Salix reticulata,1,,491,"Youngman, Philip M.","North America: Canada, Yukon Territory",1903-06-28,,,"",Little Hyland River  Frances Lake Quad.,"",61.666667,-128.416667,,
CAN 0310691A,Carex microchaeta,Carex microchaeta,,"",,Plantae; Magnoliophyta; Liliopsida; Commelinidae; Cyperales; Cyperaceae; Carex,1,,53877,"Macoun, John","North America: Canada, Yukon Territory",1902-08-14,,,"",Klondike  Indian Divide,"",0.0,0.0,,
CAN 0313097A,Salix reticulata subsp. reticulata,Salix reticulata subsp. reticulata,,"",,Plantae; Magnoliophyta; Magnoliopsida; Dilleniidae; Salicales; Salicaceae; Salix; Salix reticulata,1,,1105,"Neilson, J.","North America: Canada, Yukon Territory",1966-07-06,,,"",Jenny L  Kluane Lake Quad. Near Kluane National Park and Reserve.,"",61.05,-138.35,,
CAN 0353483A,Salix polaris,Salix polaris,,"",,Plantae; Magnoliophyta; Magnoliopsida; Dilleniidae; Salicales; Salicaceae; Salix,1,,560,"Murray, David F.","North America: Canada, Yukon Territory",1966-07-06,,,"",Observation Mt  Mount St Elias Quad. Kluane National Park and Reserve.,"",60.816667,-138.733333,,
CAN 0353484A,Salix polaris,Salix polaris,,"",,Plantae; Magnoliophyta; Magnoliopsida; Dilleniidae; Salicales; Salicaceae; Salix,1,,1099,"Murray, David F.","North America: Canada, Yukon Territory",1967-07-25,,,"",Kaskawulsh Gl  Mount St Elias Quad. Kluane National Park and Reserve.,"",60.75,-138.866667,,
CAN 0363507A,Salix polaris,Salix polaris,,"",,Plantae; Magnoliophyta; Magnoliopsida; Dilleniidae; Salicales; Salicaceae; Salix,1,,560,"Murray, David F.","North America: Canada, Yukon Territory",1966-07-14,,,"",Kaskawulsh Glacier  Eagle River Quad. Kluane National Park and Reserve.,"",60.8,-138.716667,,
CAN 0477869A,Festuca altaica,Festuca altaica,"Cody, W.J.",1983,,Plantae; Magnoliophyta; Liliopsida; Commelinidae; Poales; Poaceae; Festuca,1,,19,"Dickinson, D.M.","North America: Canada, Yukon Territory",1983-07-20,,,"",Ogilvie Mountains  Star Lake,1200 m,65.166667,-140.083333,"Rocky, mountain ridge, alpine tundra sheep range, Dryas mat, grass, sedge.",
CAN 0477884A,Saxifraga flagellaris,Saxifraga flagellaris,"Cody, W.J.",1983,,Plantae; Magnoliophyta; Magnoliopsida; Rosidae; Rosales; Saxifragaceae; Saxifraga,1,,38,"Dickinson, D.M.","North America: Canada, Yukon Territory",1983-07-26,,,"",Ogilvie Mountains  Eagle Pass,1520 m,64.766667,-140.116667,"NW-facing slope and plateau, alpine tundra, dry, gravelly areas and Dryas mat.",
CAN 0477924A,Festuca vivipara,Festuca vivipara,"Cody, W.J.",1983,,Plantae; Magnoliophyta; Liliopsida; Commelinidae; Poales; Poaceae; Festuca,1,,36,"Dickinson, D.M.","North America: Canada, Yukon Territory",1983-07-26,,,"",Ogilvie Mountains  Eagle Pass,1520 m,64.766667,-140.116667,"Steep, NW-facing slope, alpine tundra, dry, gravelly area and Dryas mat.",
CAN 0485960A,Festuca baffinensis,Festuca baffinensis,"Gillett, J.M.",1982,,Plantae; Magnoliophyta; Liliopsida; Commelinidae; Poales; Poaceae; Festuca,1,,770,"Cooper, P.F","North America: Canada, Yukon Territory",1979-07-08,,,"",Clarence Lagoon  UTM 7723200N 500900E Ivvavik National Park,"",69.618333,-140.771667,,
CAN 0486127A,Festuca brachyphylla,Festuca brachyphylla,"Gillett, J.M.",1982,,Plantae; Magnoliophyta; Liliopsida; Commelinidae; Poales; Poaceae; Festuca,1,,938,"Cooper, P.F","North America: Canada, Yukon Territory",1979-07-12,,,"",Ivvavik National Park. British Mountains  Site IV. Top of ridge. UTM 7678400N 558500E  Loc. # IV,"",69.211667,-139.526667,,
CAN 0486139A,Festuca brachyphylla,Festuca brachyphylla,"Gillett, J.M.",1982,,Plantae; Magnoliophyta; Liliopsida; Commelinidae; Poales; Poaceae; Festuca,1,,950,"Cooper, P.F","North America: Canada, Yukon Territory",1979-07-12,,,"",Ivvavik National Park. British Mountains  Site IV. UTM 7678400N 558500E  Loc. # IV,"",69.211667,-139.526667,,
CAN 0486191A,Minuartia arctica,Minuartia arctica,"Gillett, J.M.",1982,,Plantae; Magnoliophyta; Magnoliopsida; Caryophyllidae; Caryophyllales; Caryophyllaceae; Minuartia,1,,1003A,"Cooper, P.F","North America: Canada, Yukon Territory",1979-07-13,,,"",Ivvavik National Park. British Mountains  Site V. UTM 7662000N 577300E  Loc. # V,"",69.065,-139.061667,,
CAN 0486204A,Trisetum spicatum,Trisetum spicatum,"Gillett, J.M.",1982,,Plantae; Magnoliophyta; Liliopsida; Commelinidae; Poales; Poaceae; Trisetum,1,,1222,"Cooper, P.F","North America: Canada, Yukon Territory",1980-07-18,,,"",Herschel Island  Tundra near shore  SW end. UTM 7720750N 568500E. Near Ivvavik National Park.,"",69.588333,-139.24,Tundra near shore.,
CAN 0486206A,Festuca altaica,Festuca altaica,"Aiken, S.G.",1990-04,,Plantae; Magnoliophyta; Liliopsida; Commelinidae; Poales; Poaceae; Festuca,1,,1224,"Cooper, P.F","North America: Canada, Yukon Territory",1980-07-18,,,"",Herschel Island  Tundra near shore  SW end. UTM 7720300N 568500E. Near Ivvavik National Park.,"",69.583333,-139.24,Tundra near shore.,
